state,state_abbr,restriction_desc,restriction_type,Policy Type,restriction_date
Arizona,AZ,Reopened movie theaters,end,Contact Reduction,2020-05-16 00:00:00
Arizona,AZ,Closed Bars,start,Contact Reduction,2020-03-21 00:00:00
Arizona,AZ,Reopen bars,end,Contact Reduction,2020-05-16 00:00:00
Arizona,AZ,Reopened hair salons/barber shops,end,Contact Reduction,2020-05-08 00:00:00
Arizona,AZ,Reopened other non-essential retail,end,Contact Reduction,2020-05-08 00:00:00
Arizona,AZ,Began to reclose bars,start,Contact Reduction,2020-06-29 00:00:00
Arizona,AZ,Closed bars (x2),start,Contact Reduction,2020-06-29 00:00:00
Arizona,AZ,Closed movie theaters (x2),start,Contact Reduction,2020-06-29 00:00:00
Arizona,AZ,Closed gyms (x2),start,Contact Reduction,2020-06-29 00:00:00
Arizona,AZ,Reopened bars (x2),end,Contact Reduction,2021-03-25 00:00:00
Arizona,AZ,Reopened gyms (x2),end,Contact Reduction,2021-03-05 00:00:00
Arizona,AZ,Reopened movie theaters (x2),end,Contact Reduction,2021-03-05 00:00:00
Arizona,AZ,Mandate quarantine for those entering the state from specific settings,start,Contact Reduction,2020-04-09 00:00:00
Arizona,AZ,Date all mandated quarantines ended,end,Contact Reduction,2020-05-12 00:00:00
Arizona,AZ,Date vaccine allocation plan last updated,start,Notification,2021-04-05 00:00:00
Arizona,AZ,Date adults ages 80+ became eligible for COVID-19 vaccination,start,Notification,2021-01-08 00:00:00
Arizona,AZ,Date adults ages 75+ became eligible for COVID-19 vaccination,start,Notification,2021-01-08 00:00:00
Arizona,AZ,Date adults ages 70+ became eligible for COVID-19 vaccination,start,Notification,2021-01-19 00:00:00
Arizona,AZ,Date adults ages 65+ became eligible for COVID-19 vaccination,start,Notification,2021-01-19 00:00:00
Arizona,AZ,Date adults ages 60+ became eligible for COVID-19 vaccination,start,Notification,2021-03-02 00:00:00
Arizona,AZ,Date adults ages 55+ became eligible for COVID-19 vaccination,start,Notification,2021-03-02 00:00:00
Arizona,AZ,Date adults ages 50+ became eligible for COVID-19 vaccination,start,Notification,2021-03-24 00:00:00
Arizona,AZ,Date adults ages 45+ became eligible for COVID-19 vaccination,start,Notification,2021-03-24 00:00:00
Arizona,AZ,Date adults ages 40+ became eligible for COVID-19 vaccination,start,Notification,2021-03-24 00:00:00
Arizona,AZ,Date adults ages 30+ became eligible for COVID-19 vaccination,start,Notification,2021-03-24 00:00:00
Arizona,AZ,Date K-12 school employees became eligible for COVID-19 vaccination,start,Notification,2021-01-08 00:00:00
Arizona,AZ,Date grocery store workers became eligible for COVID-19 vaccination,start,Notification,2021-03-24 00:00:00
Arizona,AZ,Date incarcerated people became eligible for COVID-19 vaccination,start,Notification,2021-03-24 00:00:00
Arizona,AZ,Date general public became eligible for COVID-19 vaccination,start,Notification,2021-03-24 00:00:00
Arizona,AZ,First overall eviction moratorium start,start,Notification,2020-03-24 00:00:00
Arizona,AZ,First overall eviction moratorium end,end,Notification,2020-10-31 00:00:00
Arizona,AZ,First eviction enforcement ban start,start,Notification,2020-03-24 00:00:00
Arizona,AZ,First eviction enforcement ban end,end,Notification,2020-10-31 00:00:00
Arizona,AZ,COVID-19 hardship limitation start,start,Notification,2020-03-24 00:00:00
Arizona,AZ,COVID-19 hardship limitation end,end,Notification,2020-10-31 00:00:00
Arizona,AZ,CARES Act pleading start,start,Notification,2020-07-07 00:00:00
Arizona,AZ,CDC moratorium start,start,Notification,2020-09-04 00:00:00
Arizona,AZ,CDC moratorium end,end,Notification,2021-08-01 00:00:00
Arizona,AZ,SNAP Waiver - Emergency Allotments to Current SNAP Households,start,Notification,2020-04-01 00:00:00
Arizona,AZ,SNAP Waiver - Pandemic EBT during school year 2019-2020,start,Notification,2020-04-17 00:00:00
Arizona,AZ,SNAP Waiver - Pandemic EBT during school year 2020-2021,start,Notification,2021-02-25 00:00:00
Arizona,AZ,Modify Medicaid requirements with 1135 waivers (date of CMS approval),start,Notification,2020-03-23 00:00:00
Arizona,AZ,Allow audio-only telehealth,start,Notification,2020-03-25 00:00:00
Arizona,AZ,Allow/expand Medicaid telehealth coverage,start,Notification,2020-03-25 00:00:00
Arizona,AZ,Stopped personal visitation in state prisons,start,Contact Reduction,2020-03-13 00:00:00
Arizona,AZ,Stopped legal visitation in state prisons,start,Contact Reduction,2020-03-13 00:00:00
Arizona,AZ,Resumed visitation in state prisons,end,Contact Reduction,2021-06-19 00:00:00
Arizona,AZ,Suspended elective medical procedures,start,Notification,2020-03-21 00:00:00
Arizona,AZ,Resumed elective medical procedures,end ,Notification,2020-05-01 00:00:00
Arizona,AZ,Waived one week waiting period for unemployment insurance,start,Notification,2020-03-20 00:00:00
Arizona,AZ,Extended Benefits program activated,start,Notification,2020-06-14 00:00:00
Arizona,AZ,Extended Benefits program deactivated,end,Notification,2020-12-12 00:00:00
Arizona,AZ,Stopped participating in pandemic-related federal unemployment benefit programs,end,Notification,2021-07-10 00:00:00
Arizona,AZ,Exceptions to emergency oral prescriptions,start,Contact Reduction,2020-03-11 00:00:00
Arkansas,AR,State of emergency issued,start,Notification,2020-03-11 00:00:00
Arkansas,AR,State of emergency lifted,end,Notification,2021-05-30 00:00:00
Arkansas,AR,State of emergency reinstated,start,Notification,2021-07-29 00:00:00
Arkansas,AR,Date closed K-12 public schools,start,Contact Reduction,2020-03-17 00:00:00
Arkansas,AR,Date banned visitors to nursing homes,start,Contact Reduction,2020-03-13 00:00:00
Arkansas,AR,Closed other non-essential businesses,start,Contact Reduction,2020-04-06 00:00:00
Arkansas,AR,Began to reopen businesses,end,Contact Reduction,2020-05-04 00:00:00
Arkansas,AR,Face mask mandate in public spaces,start,Mask/Vaccine Mandate,2020-07-20 00:00:00
Arkansas,AR,Face mask mandate for employees of public-facing businesses,start,Mask/Vaccine Mandate,2020-05-11 00:00:00
Arkansas,AR,Face mask mandate end for fully vaccinated,end,Mask/Vaccine Mandate,2021-03-30 00:00:00
Arkansas,AR,Ended face mask mandate,end,Mask/Vaccine Mandate,2021-03-30 00:00:00
Arkansas,AR,Banned school face mask mandates,start,Mask/Vaccine Mandate,2021-04-28 00:00:00
Arkansas,AR,Banned other local face mask mandates,start,Mask/Vaccine Mandate,2021-04-28 00:00:00
Arkansas,AR,Judicial decision blocked state from enforcing bans on face mask mandates,end,Mask/Vaccine Mandate,2021-08-07 00:00:00
Arkansas,AR,Allowed restaurants to sell takeout alcohol,start,Contact Reduction,2020-03-19 00:00:00
Arkansas,AR,Allowed restaurants to deliver alcohol,start,Contact Reduction,2020-03-19 00:00:00
Arkansas,AR,Closed restaurants except take out,start,Contact Reduction,2020-03-20 00:00:00
Arkansas,AR,Reopen restaurants,end,Contact Reduction,2020-05-11 00:00:00
Arkansas,AR,Closed gyms,start,Contact Reduction,2020-03-20 00:00:00
Arkansas,AR,Reopened gyms,end,Contact Reduction,2020-05-04 00:00:00
Arkansas,AR,Closed movie theaters,start,Contact Reduction,2020-03-20 00:00:00
Arkansas,AR,Reopened movie theaters,end,Contact Reduction,2020-05-18 00:00:00
Arkansas,AR,Closed Bars,start,Contact Reduction,2020-03-20 00:00:00
Arkansas,AR,Reopen bars,end,Contact Reduction,2020-05-19 00:00:00
Arkansas,AR,Reopened hair salons/barber shops,end,Contact Reduction,2020-05-06 00:00:00
Arkansas,AR,Reopened other non-essential retail,end,Contact Reduction,2020-05-18 00:00:00
Arkansas,AR,Allowed businesses to reopen overnight,end,Contact Reduction,2021-01-03 00:00:00
Arkansas,AR,Mandate quarantine for those entering the state from specific settings,start,Contact Reduction,2020-05-05 00:00:00
Arkansas,AR,Date all mandated quarantines ended,end,Contact Reduction,2020-06-15 00:00:00
Arkansas,AR,Date vaccine allocation plan last updated,start,Notification,2021-01-12 00:00:00
Arkansas,AR,Date adults ages 80+ became eligible for COVID-19 vaccination,start,Notification,2021-01-18 00:00:00
Arkansas,AR,Date adults ages 75+ became eligible for COVID-19 vaccination,start,Notification,2021-01-18 00:00:00
Arkansas,AR,Date adults ages 70+ became eligible for COVID-19 vaccination,start,Notification,2021-01-18 00:00:00
Arkansas,AR,Date adults ages 65+ became eligible for COVID-19 vaccination,start,Notification,2021-02-23 00:00:00
Arkansas,AR,Date adults ages 60+ became eligible for COVID-19 vaccination,start,Notification,2021-03-30 00:00:00
Arkansas,AR,Date adults ages 55+ became eligible for COVID-19 vaccination,start,Notification,2021-03-30 00:00:00
Arkansas,AR,Date adults ages 50+ became eligible for COVID-19 vaccination,start,Notification,2021-03-30 00:00:00
Arkansas,AR,Date adults ages 45+ became eligible for COVID-19 vaccination,start,Notification,2021-03-30 00:00:00
Arkansas,AR,Date adults ages 40+ became eligible for COVID-19 vaccination,start,Notification,2021-03-30 00:00:00
Arkansas,AR,Date adults ages 30+ became eligible for COVID-19 vaccination,start,Notification,2021-03-30 00:00:00
Arkansas,AR,Date K-12 school employees became eligible for COVID-19 vaccination,start,Notification,2021-01-18 00:00:00
Arkansas,AR,Date grocery store workers became eligible for COVID-19 vaccination,start,Notification,2021-03-08 00:00:00
Arkansas,AR,Date incarcerated people became eligible for COVID-19 vaccination,start,Notification,2021-03-16 00:00:00
Arkansas,AR,Date general public became eligible for COVID-19 vaccination,start,Notification,2021-03-30 00:00:00
Arkansas,AR,CARES Act pleading start,start,Notification,2020-04-28 00:00:00
Arkansas,AR,CARES Act pleading end,end,Notification,2020-07-25 00:00:00
Arkansas,AR,Utilities shutoff moratorium start,start,Notification,2020-04-10 00:00:00
Arkansas,AR,Utilities shutoff moratorium expiration,end,Notification,2021-05-03 00:00:00
Arkansas,AR,Utilities reconnection start,start,Notification,2020-04-10 00:00:00
Arkansas,AR,Utilities reconnection end,end,Notification,2021-05-03 00:00:00
Arkansas,AR,SNAP Waiver - Emergency Allotments to Current SNAP Households,start,Notification,2020-03-24 00:00:00
Arkansas,AR,SNAP Waiver - Pandemic EBT during school year 2019-2020,start,Notification,2020-05-21 00:00:00
Arkansas,AR,Modify Medicaid requirements with 1135 waivers (date of CMS approval),start,Notification,2020-04-02 00:00:00
Arkansas,AR,Allow audio-only telehealth,start,Notification,2020-03-13 00:00:00
Arkansas,AR,Allow/expand Medicaid telehealth coverage,start,Notification,2020-03-13 00:00:00
Arkansas,AR,Stopped personal visitation in state prisons,start,Contact Reduction,2020-03-16 00:00:00
Arkansas,AR,Stopped legal visitation in state prisons,start,Contact Reduction,2020-03-16 00:00:00
Arkansas,AR,Resumed visitation in state prisons,end,Contact Reduction,2021-06-12 00:00:00
Arkansas,AR,Suspended elective medical procedures,start,Notification,2020-04-03 00:00:00
Arkansas,AR,Resumed elective medical procedures,end ,Notification,2020-04-27 00:00:00
Arkansas,AR,Waived one week waiting period for unemployment insurance,start,Notification,2020-03-17 00:00:00
Arkansas,AR,Extended Benefits program activated,start,Notification,2020-05-31 00:00:00
Arkansas,AR,Extended Benefits program deactivated,end,Notification,2020-10-17 00:00:00
Arkansas,AR,Stopped participating in pandemic-related federal unemployment benefit programs,end,Notification,2021-06-26 00:00:00
Arkansas,AR,Closed casinos,start,Contact Reduction,2020-03-17 00:00:00
Arkansas,AR,Reopened casinos,end,Contact Reduction,2020-05-18 00:00:00
California,CA,State of emergency issued,start,Notification,2020-03-04 00:00:00
California,CA,Date closed K-12 public schools,start,Contact Reduction,2020-03-23 00:00:00
California,CA,Stay at home/ shelter in place,start,Contact Reduction,2020-03-19 00:00:00
California,CA,End/relax stay at home/shelter in place,end,Contact Reduction,2021-01-25 00:00:00
California,CA,Closed other non-essential businesses,start,Contact Reduction,2020-03-19 00:00:00
California,CA,Began to reopen businesses,end,Contact Reduction,2020-05-08 00:00:00
California,CA,Face mask mandate in public spaces,start,Mask/Vaccine Mandate,2020-06-18 00:00:00
California,CA,Face mask mandate for employees of public-facing businesses,start,Mask/Vaccine Mandate,2020-05-05 00:00:00
California,CA,Face mask mandate end for fully vaccinated,end,Mask/Vaccine Mandate,2021-06-15 00:00:00
California,CA,Face mask mandate resumed for fully vaccinated,start,Mask/Vaccine Mandate,2021-12-15 00:00:00
California,CA,Face mask mandate in schools for 2021-22 school year,start,Mask/Vaccine Mandate,2021-08-02 00:00:00
California,CA,Ended face mask mandate,end,Mask/Vaccine Mandate,2022-02-15 00:00:00
California,CA,Allowed restaurants to sell takeout alcohol,start,Contact Reduction,2020-03-19 00:00:00
California,CA,Allowed restaurants to deliver alcohol,start,Contact Reduction,2020-03-19 00:00:00
California,CA,Closed restaurants except take out,start,Contact Reduction,2020-03-16 00:00:00
California,CA,Reopen restaurants,end,Contact Reduction,2020-05-18 00:00:00
California,CA,Closed gyms,start,Contact Reduction,2020-03-19 00:00:00
California,CA,Reopened gyms,end,Contact Reduction,2021-04-15 00:00:00
California,CA,Closed movie theaters,start,Contact Reduction,2020-03-19 00:00:00
California,CA,Reopened movie theaters,end,Contact Reduction,2021-04-15 00:00:00
California,CA,Closed Bars,start,Contact Reduction,2020-03-16 00:00:00
California,CA,Reopen bars,end,Contact Reduction,2021-06-15 00:00:00
California,CA,Reopened hair salons/barber shops,end,Contact Reduction,2020-08-28 00:00:00
California,CA,Reopened religious gatherings,end,Contact Reduction,2020-05-25 00:00:00
California,CA,Reopened other non-essential retail,end,Contact Reduction,2020-05-08 00:00:00
California,CA,Allowed businesses to reopen overnight,end,Contact Reduction,2021-01-25 00:00:00
California,CA,Closed restaurants (x2),start,Mask/Vaccine Mandate,2020-07-13 00:00:00
California,CA,Reopened restaurants (x2),end,Mask/Vaccine Mandate,2021-04-15 00:00:00
California,CA,Date vaccine allocation plan last updated,start,Notification,2021-03-25 00:00:00
California,CA,Date adults ages 80+ became eligible for COVID-19 vaccination,start,Notification,2021-01-13 00:00:00
California,CA,Date adults ages 75+ became eligible for COVID-19 vaccination,start,Notification,2021-01-13 00:00:00
California,CA,Date adults ages 70+ became eligible for COVID-19 vaccination,start,Notification,2021-01-13 00:00:00
California,CA,Date adults ages 65+ became eligible for COVID-19 vaccination,start,Notification,2021-01-13 00:00:00
California,CA,Date adults ages 60+ became eligible for COVID-19 vaccination,start,Notification,2021-04-01 00:00:00
